"","supplier","SICCode.SicText_1"
"340828","SCRAPTOFT COURT",NA
"340916","RIVERBANK MEDICAL CENTRE MIDHURST",NA
"341040","YORDALES HEALTH LTD",NA
"341280","DR DAVID DAWES",NA
"341311","HEATH LANE SURGERY",NA
"341321","PULBOROUGH MEDICAL GROUP",NA
"341327","PENDLE WEST PCN",NA
"341383","AGE UK NORTH YORKSHIRE",NA
"341389","HEALTHAA CENTREAA BACKAA HILLS",NA
"341657","PARKMANOR N & R HOME",NA
"341673","BEAUMANOR CARE HOMES",NA
"341820","REDDINGTON & PARTNERS",NA
"341901","MARYNA PALLETT",NA
"341950","FAMILY SURGERY LTD",NA
"342389","PAUL REYNOLDS",NA
"342454","DR DM CALLOW",NA
"342553","WESTCOURT SURGERY",NA
"342668","CRAEGMOOR ADDISON COURT PRIORY",NA
"342687","INNISMORE LTD",NA
"342688","KINGFISHER FAMILY PRACTICE",NA
"342950","CARMEL MEDICAL PRACTICE",NA
"343058","SWACA",NA
"343231","UNWIN & PARTNERS",NA
"343235","CASTLETOWN MEDICAL CENTRE",NA
"343236","DEERNESS PARK MEDICAL GROUP",NA
"343238","DR BRIGHAM",NA
"343242","DR HUBBARD",NA
"343246","DR MISHREKI & PARTNERS",NA
"343264","HARRATON SURGERY",NA
"343268","MONKWEARMOUTH HEALTH CENTRE",NA
"343336","DR PATTISON & PARTNER",NA
"343341","DR SPAGNOLI & PARTNERS",NA
"343390","SUNDERLAND CITY COUNCIL",NA
"343580","HOLYCROFT SURGERY",NA
"343581","FARFIELD GROUP PRACTICE",NA
"343599","DR MITCHELL R G",NA
"343658","FULWELL MEDICAL CENTRE",NA
"343659","GALLERIES MEDICAL PRACTICE",NA
"343676","SEFTON PENSIONER ADVOCACY CENTRE",NA
"343679","NEW POND ROW PRACTICE",NA
"343726","MARKET WEIGHTON SURGERY",NA
"343733","DR POULIER R A & PARTNERS",NA
"343751","BROADWAY MEDICAL PRACTICE",NA
"343812","DR PARRY & PARTNERS SUNDERLAND",NA
"343815","DR REDDY & PARTNERS",NA
"343941","DOVEHAVEN NURSING HOME",NA
"344012","DR G STUBBENS & PARTNERS",NA
"344014","CHRISTIANA HARTLEY MEDICAL PRACTICE",NA
"344039","DR RAY",NA
"344081","CRAVEN COMMUNITY AND VOLUNTARY SERVICES",NA
"344128","NEWCASTLE UPON TYNE HOSPITALS NHS  FOUNDATION TRUST",NA
"344159","HAWORTH MEDICAL PRACTICE",NA
"344171","KILMENY SURGERY",NA
"344174","DR WRIGHT & PARTNERS SUNDERLAND",NA
"344185","LING HOUSE DOCTORS",NA
"344310","MERSEA ISLAND MEDICAL PRACTICE",NA
"344344","WEARSIDE WOMEN IN NEED",NA
"344348","COUNTY DURHAM AND DARLINGTON NHS  FOUNDATION TRUST",NA
"344385","DR SHARMA & PARTNERS SUNDERLAND",NA
"344450","QUAYSIDE PHYSIOTHERAPY CLINIC",NA
"344462","CREFFIELD MEDICAL CENTRE",NA
"344521","BOGNOR MEDICAL PRACTICE",NA
"344625","SYDENHAM HOUSE SURGERY",NA
"344707","FAERESTRAND H I & PARTNERS",NA
"344762","DR EL SAFY",NA
"344767","SWEENEY G A & PARTNERS",NA
"344821","TRUST CITY HOSPITALS SUNDERLAND FOUNDATION NHS",NA
"344824","TRUST NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION",NA
"344830","BARMSTON MEDICAL CENTRE",NA
"344845","DR RUTHERFORD & PARTNERS",NA
"344852","DR WEATHERHEAD",NA
"344861","PENNYWELL MEDICAL CENTRE",NA
"344863","PALLION FAMILY PRACTICE",NA
"344864","AHMAD H S",NA
"344870","COUNTY DURHAM AND DARLINGTON NHS",NA
"344888","BEST M & PARTNER",NA
"344896","CHILD S W & PARTNER",NA
"344922","DR NATHAN",NA
"345009","CROKER N M & PARTNERS",NA
"345188","SWAVESEY SURGERY",NA
"345196","ACORN SURGERY",NA
"345203","HOLDERNESS HEALTH",NA
"345276","ARDLEIGH SURGERY",NA
"345321","QUEENS COURT NURSING HOME",NA
"345322","HESSLE HEALTH SURGERY",NA
"345359","DR R M GANT & PTNRS",NA
"345488","RIVERSIDE HEALTH CENTRE",NA
"345514","THORPE ROAD SURGERY",NA
"345621","DAISY APPEAL",NA
"345623","DR HASTIE & PARTNERS",NA
"345625","DR I G WILLIAMS & PARTNER",NA
"345681","FOUR SEASONS HEALTHCARE",NA
"345687","DR R PARKER & PARTNERS",NA
"345711","DR SANDERS & PARTNERS",NA
"345713","DR SRINIVASAN & PARTNER",NA
"345721","DR V S IYER & PARTNER",NA
"345724","DR WARRENDER & PARTNER",NA
"345777","HASAN A & PARTNER",NA
"345831","THISTLEMOOR MEDICAL CENTRE",NA
"345848","JOHN TASKER HOUSE SURGERY",NA
"345863","BUSHFIELD HEALTH CENTRE",NA
"345898","DR ANDERSON & PARTNERS GREAT CAMBOURNE",NA
"345960","DR M J GRANDE & PARTNERS",NA
"346023","GRANTA MEDICAL PRACTICES",NA
"346056","MANOR HOUSE (THE) LITTLE WEIGHTON",NA
"346075","NEW ROYSIA SURGERY",NA
"346436","BOROUGHBURY MEDICAL CENTRE",NA
"346476","CORNERWAYS SURGERY WORTHING",NA
"346477","EPPING CLOSE PRACTICE",NA
"346479","GLEBE SURGERY",NA
"346481","DR A D WRIGHT & PARTNERS",NA
"346482","DR A G MALES PARTNERS",NA
"346483","DR A S HUSSEY & PTNRS",NA
"346502","DR DAVID HOLMES",NA
"346523","HARGREAVES M J & PARTNERS",NA
"346552","DR P J HARDING & PARTNER",NA
"346554","RV MOATHOUSE LTD",NA
"346707","ASKHAM CARE HOMES",NA
"346763","DR R LANE & PARTNERS",NA
"346810","NP ROME",NA
"346857","DR TL ASHOK-KUMAR",NA
"346880","NHS GREATER GLASGOW & CLYDE",NA
"346994","MIXER PR & PARTNERS",NA
"347045","DR BAKKER & PTRS",NA
"347059","DR DAWSON & PARTNERS",NA
"347352","BARTHOLOMEW MEDICAL GROUP",NA
"347421","WOODLANDS CARE CENTRE",NA
"347422","X LEISURE LTD",NA
"347432","BOTOLPH COMMUNITY HEALTH CENTRE",NA
"347434","MIRZA K & PARTNER",NA
"347435","BRETTON MEDICAL PRACTICE",NA
"347436","CRUSADER SURGERY",NA
"347456","BOURNE GALLETLY PRACTICE",NA
"347466","CATHEDRAL MEDICAL CENTRE",NA
"347598","GREAT STAUGHTON SURGERY",NA
"347652","YORK ROAD SURGERY HARTLEPOOL",NA
"347985","LINTON HEALTH CENTRE",NA
"347988","METROPOLITAN SUPPORT TRUST",NA
"348128","DR C HICKLING & PTNRS",NA
"348173","DR M A H LALIWALA",NA
"348176","DR M J TAYLOR & PTNRS",NA
"348364","DR CECIL & PARTNERS",NA
"348631","DR P BRIMBLECOMBE & PTNRS",NA
"348648","DR R PATEL & PARTNERS",NA
"348710","MAPLE SURGERY",NA
"348868","LIFECRAFT",NA
"348944","ONE OFF SUPPLIER",NA
"349059","DR BOLTON & PARTNERS",NA
"349096","EXCEL LONDON",NA
"349100","MUNRO MEDICAL CENTRE",NA
"349172","SCHOOL STREET SURGERY",NA
"349213","RAYMOND CHARLES VINCENT",NA
"349235","BARRY PATRICK",NA
"349286","ABBEY COURT PRIORY",NA
"349372","NORTH HILL MEDICAL GROUP",NA
"349374","CYGNET HEALTHCARE - SURREY LTD",NA
"349382","OREGAN S M & PARTNERS",NA
"349411","ROSELAND SURGERIES",NA
"349506","DR A NATHU",NA
"349525","TWUMASI K & PARTNERS",NA
"349622","CHACEWATER HEALTH CENTRE",NA
"349624","HARRIS MEMORIAL SURGERY",NA
"349696","DUCHY HOSPITAL",NA
"349758","SYMONDS NURSING HOME",NA
"349777","OAK TREE SURGERY",NA
"350085","TLC GROUP (CAMBS MANOR CARE HOME) LTD",NA
"350117","GREAT CLACTON MEDICAL PARTNERSHIP",NA
"350118","DR KUTI & PARTNERS",NA
"350191","WIVENHOE MEDICAL CENTRE",NA
"350231","CAPE CORNWALL SURGERY",NA
"350298","HUMPHREY S M & PARTNERS",NA
"350593","BRAINTREE CLINICAL SERVICES LTD",NA
"350673","ST NEOTS HEALTH CENTRE",NA
"350699","TURNER N A & PARTNERS",NA
"350945","GEORGE ROBINSON 99D",NA
"350966","PERS HLTH BUD 99D",NA
"351023","PERS HLTH BUD99D",NA
"351291","STILLMOOR HOUSE MEDICAL PRACTICE",NA
"351660","CLAYS PRACTICE",NA
"351663","MARAZION SURGERY",NA
"351759","CHADSFIELD MEDICAL PRACTICE",NA
"351762","DR R WEBB & PTNRS",NA
"351804","COLCHESTER BOROUGH COUNCIL",NA
"351872","EAST HILL SURGERY",NA
"352016","OWENS J M & PARTNER",NA
"352050","DR SWINSCOE & PARTNERS",NA
"352074","EAST LYNNE MEDICAL CENTRE CLACTON GP ALLIANCE",NA
"352098","RIVERBANK MEDICAL SERVICES",NA
"352424","HUNT M J N & PARTNERS",NA
"352442","MANSFIELD DISTRICT COUNCIL",NA
"352611","CHERRY LANE 09P",NA
"352650","LIFEWALK LTD",NA
"352697","PATHFINDERS SPECIALIST & COMPLEX CARE",NA
"352758","PROJECTPLACE INTERNATIONAL AB",NA
"352973","VALE ROYAL GP PRACTICES",NA
"353190","MODERNISING HEALTHCARE PARTNERSHIP(THE)",NA
"353329","DR J TWEEDALE & PARTNERS",NA
"353517","DR G R COOPER & PARTNERS",NA
"353535","LITTLE RIDGE AVENUE SURGERY",NA
"353687","AD & GV BENNETT",NA
"353705","BENTHAM ROAD HEALTH CENTRE",NA
"353718","SWANLOW MEDICAL CENTRE",NA
"353719","FAMILY PRACTICE BLACKBURN",NA
"353928","NEW ROAD SURGERY (RUBERY)",NA
"353935","GRAEME JOHNSON 09P",NA
"354091","DR MK LECI & PARTNERS",NA
"354099","STRENSHAM ROAD SURGERY DR WHITTAKER",NA
"354107","DR C MOWBRAY & PARTNERS",NA
"354284","WOODLANDS SURGERY AT EDEN HOUSE",NA
"354324","DARWEN HEALTHLINK PARTNERSHIP",NA
"354436","PAGE HALL MEDICAL CENTRE",NA
"354483","SHEFFIELD CITY TAXIS LTD",NA
"354557","CORNERSTONE PRACTICE",NA
"354613","MANOR PARK MEDICAL CENTRE SHEFFIELD",NA
"354618","MILL ROAD SURGERY SHEFFIELD",NA
"354657","KIRSTI SNOWDEN 09P",NA
"354722","TERESA GOULDING 09P",NA
"354723","SAMUEL PULLEYN HAWKINS 09P",NA
"354730","DR T A WALMSLEY & PARTNERS",NA
"354731","WINCOBANK MEDICAL CENTRE",NA
"354755","BIRLEY HEALTH CENTRE",NA
"354772","ROEBUCK HOUSE - PRACTICE 4",NA
"354801","FLOWERS HEALTH CENTRE",NA
"354806","GLEADLESS MEDICAL CENTRE",NA
"354810","MONTAGUE PRACTICE",NA
"354865","RUSTLINGS ROAD MEDICAL CENTRE",NA
"354905","SUSASH GB LTD T/A EAGLE HOUSE",NA
"355061","DR J MACHEN & PARTNER",NA
"355110","DR RG BAILEY",NA
"355141","EXCLUSIVE",NA
"355144","DR MEHROTRA & PARTNER",NA
"355377","MAIS HOUSE",NA
"355472","DR PA WONG & PARTNER",NA
"355643","HASTING MEDICAL PRACTICE & WALK IN CENTRE",NA
"355813","STONECROFT MEDICAL CENTRE",NA
"355814","HILTON PARK CARE CENTRE",NA
"355927","DAVENAL HOUSE SURGERY PARTNERSHIP",NA
"356016","DR M CASKEY & PTNRS",NA
"356175","DOVERCOURT SURGERY",NA
"356481","BELINDA MCCARRAHER",NA
"356507","BROOKHOUSE MEDICAL CENTRE",NA
"356509","DARWEN HEALTH CARE",NA
"356594","OUTREACH 3WAY",NA
"356711","SOUTH SAXON HOUSE SURGERY",NA
"356755","CLAIRE MATTHEWS 09P",NA
"356917","WEST MERCIA POLICE & CRIME COMMISSIONER",NA
"356976","RICHMOND MEDICAL CENTRE",NA
"357033","DR STEWART & PARTNERS",NA
"357118","DR S M A EVERITT & PARTNERS",NA
"357129","ABBEY MEDICAL PRACTICE EVESHAM",NA
"357131","ABBOTTSWOOD MEDICAL CENTRE",NA
"357133","DR C M YOUNG & PARTNERS",NA
"357135","DR BYWATER SALTER & HINTON",NA
"357139","DR S P A WATSON & PARTNERS",NA
"357141","DR T P S BLOCH & PARTNERS",NA
"357144","GREY GABLE SURGERY",NA
"357145","DR ILT SMITH & PARTNERS",NA
"357246","DR C M WHITTAKER & PARTNERS",NA
"357282","WESTBOURNE HOUSE NURSING HOME",NA
"357475","DR I TIMSON & PARTNER",NA
"357670","EVERGREEN",NA
"357878","BALLATER NURSING HOME",NA
"357966","GROUNDWORK MANCHESTER SALFORD STOCKPORT TAMESIDE & TRAFFORD",NA
"358046","WOODSEATS MEDICAL CENTRE",NA
"358086","BRYHER COURT NH",NA
"358258","CLOVER GROUP PRACTICE",NA
"358276","NHS BASSETLAW CCG",NA
"358364","AGE CONCERN CAMBRIDGE",NA
"358370","BARBARA PEARCE",NA
"358539","GRENOSIDE SURGERY",NA
"358835","CLUB DONCASTER FOUNDATION",NA
"358944","KHAN CF",NA
"358958","NORWOOD MEDICAL CENTRE SHEFFIELD",NA
"358961","SHIREGREEN MEDICAL CENTRE",NA
"359101","DR N J TAYLOR & PARTNERS",NA
"359164","COLEMAN & PARTNERS",NA
"359226","MATHEWS PRACTICE",NA
"359339","DR Z J MYSZKA & PARTNERS",NA
"359340","DR I A BALLIN & PARTNERS",NA
"359356","CROOKES PRACTICE",NA
"359357","DR S MCCORKINDALE & PARTNERS",NA
"359434","GATESHEAD COUNCIL",NA
"359442","DR HABER & PARTNERS",NA
"359673","WINSCOMBE SURGERY",NA
"359709","FIRTH PARK SURGERY",NA
"359710","FORGE HEALTH GROUP",NA
"359828","DR E HOLLIDAY & PARTNERS",NA
"359950","PITSMOOR SURGERY",NA
"360070","DR A SALIM & DR R SALIM",NA
"360076","GREAT WESTERN SURGERY",NA
"360134","DOVERAA HOUSEAA GPAA PRACTICE",NA
"360135","EAGLEAA HOUSEAA SURGERYAA ENFIELD",NA
"360136","EDMONTONAA MEDICALAA CENTRE",NA
"360157","CARE HOME MEDICAL PRACTICE",NA
"360195","TOWNAA SURGERY",NA
"360226","GUYS & ST THOMAS HOSPITAL NHS  FOUNDATION TRUST",NA
"360227","HOMERTON UNIVERSITY HOSPITAL  NHS FOUNDATION TRUST",NA
"360229","LAKES MEDICAL CENTRE",NA
"360237","LONDON NORTH WEST HEALTHCARE  NHS TRUST",NA
"360239","MOORFIELDS EYE HOSPITAL NHS  FOUNDATION TRUST",NA
"360246","PRINCESS ALEXANDRA HOSPITAL NHS  TRUST",NA
"360259","BINCOTEAA ROADAA SURGERY",NA
"360279","DELLAA CORPORATIONAA LTD",NA
"360283","EASTAA ANDAA NORTHAA HERTFORDSHIREAA NHSAA TRUST",NA
"360330","WOODHOUSE HEALTH CENTRE",NA
"360381","GETRONICS UNIFIED COMMUNICATIONS (UK) LTD",NA
"360413","ELM LANE SURGERY",NA
"360519","DR M AUSTIN & PARTNER",NA
"360521","HEALTHAA NHSAA TRUST LONDONAA BOROUGHAA OFAA ENFIELD",NA
"360522","KING'SAA COLLEGEAA HOSPITALAA NHSAA FOUNDATION",NA
"360523","TRUST GUYSAA &AA STAA THOMASAA HOSPITALAA NHS",NA
"360524","FOUNDATIONAA TRUST LONDONAA AMBULANCEAA SERVICEAA NHSAA TRUST",NA
"360526","ROYALAA BROMPTONAA &AA HAREFIELDAA NHS",NA
"360527","FOUNDATIONAA TRUST CHELSEAAA ANDAA WESTMINSTERAA HOSPITALAA NHS",NA
"360528","FOUNDATIONAA TRUST ABERNETHYAA HOUSE",NA
"360529","ARNOSAA GROVEAA MEDICALAA CENTRE",NA
"360549","BOUNDARYAA HOUSEAA SURGERYAA BOAKYEAA COWLEY",NA
"360550","JONES NHSAA ISLINGTONAA CCG",NA
"360568","HEALTHAA NHSAA TRUST CENTRALAA &AA NORTHAA WESTAA LONDONAA NHS",NA
"360572","UNIVERSITYAA COLLEGEAA LONDONAA HOSPITALSAA NHS",NA
"360590","TRUST SOLACEAA WOMENSAA AID",NA
"360594","HEALTHAA NHSAA TRUST ENFIELDAA HEALTHAA PARTNERSHIPAA LTD",NA
"360614","TRUST ROYALAA FREEAA LONDONAA NHSAA FOUNDATIONAA TRUST",NA
"360757","DR J HARRIS & PARTNERS",NA
"360761","DR M S YATES & PARTNER",NA
"360762","DR M SHAHBAZ & DR D DILLON",NA
"360766","DR SAXBY & PARTNERS",NA
"360819","SPRINGFIELD PHARMACY (MANCHESTER)",NA
"360894","DR BROWNE & PARTNERS MANCHESTER",NA
"360951","BEECH TREE HALL",NA
"360995","KING'S COLLEGE HOSPITAL NHS  FOUNDATION TRUST",NA
"361010","BROADMEAD MEDICAL CENTRE",NA
"361057","DR N A FINEGAN & PARTNERS",NA
"361069","NORTHGATE INFORMATION SOLUTIONS UK LTD",NA
"361078","LADHAR GROUP CARE HOMES",NA
"361087","DR HOPE & PARTNERS",NA
"361117","DR A A GOULD",NA
"361283","KING`S COLLEGE HOSPITAL NHS  FOUNDATION TRUST",NA
"361326","WINCHMORE PRACTICE",NA
"361402","DR V B RAJ & PARTNER",NA
"361404","CAMBIAN LEARNING  DISABILITIES LTD",NA
"361484","NORFOLK PARK HEALTH CENTRE",NA
"361495","MADELEINE DOHERTY",NA
"361511","DR BUDDEN & PARTNERS",NA
"361585","IRLAM GROUP PRACTICE",NA
"361688","SEQUENCEAA CAREAA GROUP",NA
"361724","MANCHESTER ACADEMIC HEALTH SCIENCE CENTRE",NA
"361755","DR J W TANKEL & PARTNERS",NA
"361782","COLLABORATAA ED",NA
"361795","SLOAN MEDICAL CENTRE",NA
"361832","NHSAA LOTHIAN",NA
"361874","JAUNTY SPRINGS HEALTH CENTRE",NA
"361876","NEWBURY GREEN MEDICAL PRACTICE",NA
"361877","DR W S DAVIS",NA
"361881","CHELSEA AND WESTMINSTER HOSPITAL  NHS FOUNDATION TRUST",NA
"361888","HOMERTON UNIVERSITY HOSPITAL NHS  FOUNDATION TRUST",NA
"361909","NORTHUMBERLAND TYNE AND WEAR  NHS FOUNDATION TRUST",NA
"361913","ROYAL FREE LONDON NHS FOUNDATION  TRUST",NA
"361971","DR G K JOLLY & PARTNERS",NA
"361992","DRS KORIA & WHITE",NA
"362038","SHERWOOD LODGE INDEPENDENT HEALTH CARE",NA
"362043","WEMYSS LODGE",NA
"362067","WEST END CLINIC",NA
"362069","WHITE HOUSE FARM MEDICAL CENTRE",NA
"362256","DR D K MCCARTHY & PARTNERS",NA
"362332","WHITE HOUSE SURGERY SHEFFIELD",NA
"362368","RIVER BROOK MEDICAL CENTRE",NA
"362502","MANCHESTER ROAD SURGERY SHEFFIELD",NA
"362723","EDWARD JAMES",NA
"362746","NHS OXFORDSHIRE CCG",NA
"362767","MANOR & PARK GROUP PRACTICE",NA
"362797","SANDRINGHAM HOUSE NURSING HOME",NA
"362865","MEDICAL CENTRE CRYSTAL PEAKS",NA
"362922","FALKLAND HOUSE",NA
"363018","PORTISHEAD MEDICAL GROUP",NA
"363100","CRESCENT NURSING HOME (THE)",NA
"363190","DUNNINC ROAD SURGERY",NA
"363329","STOCKWOOD MEDICAL CENTRE",NA
"363340","UPWELL STREET SURGERY",NA
"363342","WALKLEY HOUSE MEDICAL CENTRE",NA
"363447","MEADOWHEAD GROUP PRACTICE",NA
"363654","FIRST CARE LTD - THE HOLLIES",NA
"363720","SELBORNE ROAD MEDICAL CENTRE",NA
"363757","BINFIELD ROAD SURGERY",NA
"363758","BRIXTON HILL GROUP PRACTICE",NA
"363763","DR CURRAN & PTNRS",NA
"363784","SANDMERE PRACTICE",NA
"363786","STOCKWELL GROUP PRACTICE",NA
"363828","AVALON NURSING HOME",NA
"363890","WRENBURY MEDICAL PRACTICE",NA
"363891","CLAPHAM FAMILY PRACTICE",NA
"363900","ERINGTON AT THE PAVILION",NA
"363914","ROSENDALE SURGERY",NA
"363918","STREATHAM COMMON GROUP PRACTICE",NA
"363928","WEST LONDON NHS TRUST",NA
"363930","CINDERHILL LANE SURGERY",NA
"363941","DIBBENS SOLICITORS",NA
"364015","BUCHANAN ROAD SURGERY",NA
"364032","CRAEGMOOR FITZWILLIAM LODGE PRIORY",NA
"364070","SPRINGFIELD MEDICAL CENTRE",NA
"364089","SELHP LTD",NA
"364105","VALLEY ROAD SURGERY LONDON",NA
"364106","KNIGHTS HILL SURGERY",NA
"364124","NORFOLK & NORWICH UNIVERSITY HOSPITALS NHS",NA
"364344","CORNER SURGERY",NA
"364349","EXCHANGE SURGERY",NA
"364389","CREWE HEALTH MANAGEMENT",NA
"364415","SOUTHSIDE REHABILITATION ASSOCIATION",NA
"364556","CHINA COTTAGE NURSING HOME",NA
"364602","EDITH CAVELL PRACTICE",NA
"364626","VASSALL MEDICAL CENTRE",NA
"364641","ROYAL BOROUGH OF GREENWICH",NA
"364720","NORWOOD SURGERY",NA
"364739","CASTERBRIDGE MANOR",NA
"364802","CROWN DALE MEDICAL CENTRE",NA
"364936","NHS CENTRAL LONDON (WESTMINSTER) CCG",NA
"364959","TRUST BURTON HOSPITALS NHS FOUNDATION TRUST",NA
"364974","UNIVERSITY HOSPITALS COVENTRY AND",NA
"364978","FOUNDATION TRUST SPIRE HEALTHCARE LTD",NA
"364982","HOSPITAL NHS FOUNDATION TRUST BIRMINGHAM WOMENS AND CHILDRENS NHS",NA
"365011","DR FYUNAS",NA
"365013","DR JGWAKEMAN & PARTNERS",NA
"365015","DR LH BRYAN & PARTNERS",NA
"365016","DR P J GREGORY & PARTNERS",NA
"365017","DR N C S COLE & PARTNERS",NA
"365018","DR PD NIGHTINGALE & PARTNERS",NA
"365019","DR PH COOPER & PARTNERS",NA
"365021","PENCESTER SURGERY",NA
"365024","TRI-LINKS MEDICAL PRACTICE",NA
"365036","ASHFIELDS PRIMARY CARE CENTRE",NA
"365045","ROMNEY MARSH PHYSIOTHERAPY CENTRE",NA
"365052","HEALTHCARE NHS FOUNDATION TRUST NHS STAFFORD AND SURROUNDS CCG",NA
"365084","HEALTHCARE NHS FOUNDATION TRUST UNIVERSITY HOSPITAL BIRMINGHAM NHS",NA
"365085","FOUNDATION TRUST UNIVERSITY HOSPITALS COVENTRY AND",NA
"365091","ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION",NA
"365093","OAKLANDS HEALTH CENTRE",NA
"365103","WHITE CLIFFS MEDICAL CENTRE",NA
"365126","FOUNDATION TRUST STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP",NA
"365127","NHS TRUST NHS EAST STAFFORDSHIRE CCG",NA
"365131","FORTH VALLEY NHS BOARD",NA
"365135","DR P KILLEEN & PARTNERS",NA
"365180","DR HSDHINGRA",NA
"365187","LAKESIDE MEDICAL CENTRE",NA
"365189","WESTGATE PRACTICE (THE)",NA
"365190","LANGTON MEDICAL GROUP",NA
"365192","TRINITY SURGERY",NA
"365194","SALTERS MEADOW HEALTH CENTRE",NA
"365196","MOSS GROVE SURGERY KINVER",NA
"365212","SUN LANE SURGERY",NA
"365213","ST JAMES SURGERY DOVER",NA
"365257","HEALTHCARE NHS FOUNDATION TRUST NHS CANNOCK CHASE CCG",NA
"365261","BARNSLEY ROAD SURGERY",NA
"365272","FOUNDATION TRUST NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",NA
"365276","(THE) BIRMINGHAM WOMENS AND CHILDRENS NHS",NA
"365280","NHS TRUST SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS",NA
"365286","EBBSFLEET HQL PRIORY",NA
"365287","STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP",NA
"365289","FOUNDATION TRUST NHS EAST STAFFORDSHIRE CCG",NA
"365339","FOLKESTONE CANTERBURY ROAD SURGERY",NA
"365357","LYDDEN SURGERY",NA
"365367","DR IH IBRAHIM & PARTNERS",NA
"365410","OAK HALL SURGERY",NA
"365574","SOUTHEAST ULTRASOUND LTD",NA
"365735","RECOVERY & REHABILITATION PARTNERSHIP LTD",NA
"365971","SANDGATE ROAD SURGERY",NA
"366057","FOREST END SURGERY",NA
"366082","DR RM STEWART T/A HAWKINGE HEALTH CENTRE",NA
"366440","DR W NILAR & PARTNER",NA
"366647","DOLPHINS HEALTH CENTRE",NA
"366746","CHEVERELS CARE HOME",NA
"367025","KINGSWOOD SURGERY KINGSTON HULL",NA
"367032","DR GOPAL K V",NA
"367033","POOLE WELL BEING COLLABORATIVE (THE)",NA
"367138","FAITH HOUSE SURGERY",NA
"367148","CHRISTCHURCH COMMUNITY PARTNERSHIP",NA
"367294","HEADWAY NORTH STAFFS",NA
"367320","HOLBROOK SURGERY",NA
"367389","LAURBEL SURGERY",NA
"367416","SUTTON MANOR SURGERY",NA
"367432","DR P WIGMORE & PARTNER",NA
"367433","EDEN MEDICAL GROUP",NA
"367535","HULL CHILDREN`S UNIVERSITY",NA
"367599","DR WEIR J A D & PARTNERS",NA
"367610","SEEABILITY",NA
"367665","BEECHWOOD GROUP PRACTICE",NA
"367790","DR NAYAR J K",NA
"367804","ORCHARD HOUSE SURGERY WORKINGTON",NA
"367814","WARWICK ROAD SURGERY",NA
"367815","WESTCROFT HOUSE SURGERY",NA
"367836","NORTHPOINT",NA
"367837","WALSINGHAM",NA
"367881","AV GEORGE",NA
"367910","PINEHILL SURGERY",NA
"367918","ANTHONY GOLD SOLICITORS",NA
"367923","LINDFIELD MEDICAL CENTRE",NA
"367924","LONGTOWN MEDICAL PRACTICE",NA
"367927","MARYPORT HEALTH SERVICES",NA
"367947","BIRBECK MEDICAL GROUP",NA
"368013","SEASCALE HEALTH CENTRE",NA
"368022","ASPATRIA MEDICAL GROUP",NA
"368051","REDGATE MEDICAL CENTRE BRIDGWATER",NA
"368092","CUCKFIELD MEDICAL CENTRE",NA
"368175","SOLWAY HEALTH SERVICES",NA
"368288","LOWTHER MEDICAL CENTRE",NA
"368453","ALSTON MEDICAL PRACTICE",NA
"368456","ST ANDREWS SURGERY",NA
"368529","STREAMLINERS NZ LTD",NA
"368604","MANSION HOUSE SURGERY",NA
"368632","COLEG ELIDYR CAMPHILL COMMUNITIES",NA
"368673","DR COOK B F",NA
"368698","JAMES ALEXANDER FAMILY PRACTICE",NA
"368882","LIVING WELL PARTNERSHIP",NA
"368987","SUTTON HOUSE CARE HOME",NA
"369020","EXECUTORS OF EDITH MARY TORDO",NA
"369113","BROW MEDICAL CENTRE",NA
"369120","EASTGATE MEDICAL GROUP",NA
"369322","FORD MEDICAL PRACTICE",NA
"369640","VIRGIN CARE LIVERPOOL LLP",NA
"369724","STEEPLETON MANOR",NA
"369751","DR JR LORENZ & PARTNERS",NA
"369869","WARREN CENTRE",NA
"369885","DR R RAUT & PARTNER",NA
"369964","GOODHEART SURGERY",NA
"369968","BRANDON PARK",NA
"369985","QUEEN ELIZABETH HOSPITAL KINGS LYNN NHS  FOUNDATION TRUST",NA
"370011","ROOKERY MEDICAL CENTRE",NA
"370012","SIAM SURGERY",NA
"370017","VICTORIA SURGERY",NA
"370019","WOOLPIT HEALTH CENTRE",NA
"370027","DR CHOWDHURY G M & PARTNER",NA
"370042","DR HASSAN & PARTNERS HOPTON",NA
"370046","MARKET CROSS SURGERY",NA
"370100","BRANDON MEDICAL PRACTICE",NA
"370116","ASSURA LIVERPOOL LLP",NA
"370120","HEALTH CENTRE BACK HILLS",NA
"370237","SUFFOLK CARERS LTD",NA
"370250","STANLEY & PTNRS",NA
"370351","ORCHARD HOUSE SURGERY NEWMARKET",NA
"370383","MOUNT FARM SURGERY",NA
"370454","WILLIAMS & PTNRS",NA
"370487","S&A CARE LTD",NA
"370510","SUPPLIES TEAM SOLUTIONS",NA
"370534","WESTAA SUFFOLKAA NHSAA FOUNDATIONAA TRUST",NA
"370544","NORFOLKAA &AA SUFFOLKAA NHSAA FOUNDATIONAA TRUST",NA
