"","CompanyNumber","SICCode.SicText_1"
"117101","08961417","86210 - General medical practice activities"
"117128","08971493","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"117196","08974893","86210 - General medical practice activities"
"117197","08991220","87100 - Residential nursing care facilities"
"117198","08991245","86900 - Other human health activities"
"117247","09001388","82990 - Other business support service activities n.e.c."
"117250","09005401","47599 - Retail of furniture, lighting, and similar (not musical instruments or scores) in specialised store"
"117251","09013135","70229 - Management consultancy activities other than financial management"
"117295","09018846","86900 - Other human health activities"
"117379","09019326","70229 - Management consultancy activities other than financial management"
"117393","09019774","62020 - Information technology consultancy activities"
"117394","09023807","87100 - Residential nursing care facilities"
"117400","09024189","86210 - General medical practice activities"
"117434","09034171","86210 - General medical practice activities"
"117481","09037492","86900 - Other human health activities"
"117485","09039776","86210 - General medical practice activities"
"117591","09041299","86900 - Other human health activities"
"117593","09047506","99999 - Dormant Company"
"117624","09051910","70229 - Management consultancy activities other than financial management"
"117625","09052134","86210 - General medical practice activities"
"117737","09055599","82990 - Other business support service activities n.e.c."
"117750","09062358","74909 - Other professional, scientific and technical activities n.e.c."
"117754","09073394","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"117756","09076420","78109 - Other activities of employment placement agencies"
"117758","09080838","66190 - Activities auxiliary to financial intermediation n.e.c."
"117760","09083161","86900 - Other human health activities"
"117761","09083248","87300 - Residential care activities for the elderly and disabled"
"117762","09084220","86210 - General medical practice activities"
"117765","09085732","86210 - General medical practice activities"
"117818","09089141","86220 - Specialists medical practice activities"
"117837","09096047","62020 - Information technology consultancy activities"
"117839","09102164","71111 - Architectural activities"
"117844","09106231","90010 - Performing arts"
"117845","09106261","41100 - Development of building projects"
"117846","09108422","86900 - Other human health activities"
"117873","09112755","87100 - Residential nursing care facilities"
"117977","09113111","86210 - General medical practice activities"
"117983","09114250","86210 - General medical practice activities"
"118023","09114753","86210 - General medical practice activities"
"118075","09116132","88990 - Other social work activities without accommodation n.e.c."
"118076","09121435","87100 - Residential nursing care facilities"
"118081","09122453","96090 - Other service activities n.e.c."
"118084","09123593","70229 - Management consultancy activities other than financial management"
"118085","09125623","86210 - General medical practice activities"
"118087","09128929","87300 - Residential care activities for the elderly and disabled"
"118088","09136889","86210 - General medical practice activities"
"118103","09136981","86900 - Other human health activities"
"118141","09139060","99999 - Dormant Company"
"118158","09139288","96090 - Other service activities n.e.c."
"118159","09139552","86900 - Other human health activities"
"118270","09140646","87300 - Residential care activities for the elderly and disabled"
"118272","09140668","86210 - General medical practice activities"
"118284","09142701","74990 - Non-trading company"
"118470","09143195","86210 - General medical practice activities"
"118472","09143367","86210 - General medical practice activities"
"118475","09145459","86210 - General medical practice activities"
"118476","09145539","86210 - General medical practice activities"
"118480","09146517","87100 - Residential nursing care facilities"
"118491","09147059","86210 - General medical practice activities"
"118513","09147175","86210 - General medical practice activities"
"118528","09151708","78109 - Other activities of employment placement agencies"
"118529","09156391","68209 - Other letting and operating of own or leased real estate"
"118530","09157425","87300 - Residential care activities for the elderly and disabled"
"118532","09160959","47749 - Retail sale of medical and orthopaedic goods in specialised stores (not incl. hearing aids) n.e.c."
"118533","09163400","86210 - General medical practice activities"
"118534","09168027","86210 - General medical practice activities"
"118546","09172466","85590 - Other education n.e.c."
"118547","09181386","86210 - General medical practice activities"
"118548","09187663","87100 - Residential nursing care facilities"
"118552","09188442","86210 - General medical practice activities"
"118557","09190692","86900 - Other human health activities"
"118560","09191880","86900 - Other human health activities"
"118565","09195663","31090 - Manufacture of other furniture"
"118566","09196407","86900 - Other human health activities"
"118572","09198009","82990 - Other business support service activities n.e.c."
"118578","09198035","86900 - Other human health activities"
"118622","09198768","82990 - Other business support service activities n.e.c."
"118623","09200926","87300 - Residential care activities for the elderly and disabled"
"118624","09203980","70100 - Activities of head offices"
"118626","09205920","86220 - Specialists medical practice activities"
"118630","09206138","87300 - Residential care activities for the elderly and disabled"
"118631","09207729","87100 - Residential nursing care facilities"
"118635","09213928","86210 - General medical practice activities"
"118670","09214266","86210 - General medical practice activities"
"118733","09220330","86210 - General medical practice activities"
"118736","09220336","82990 - Other business support service activities n.e.c."
"118737","09221309","86210 - General medical practice activities"
"118741","09221436","86210 - General medical practice activities"
"118744","09224572","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"118764","09225457","47730 - Dispensing chemist in specialised stores"
"118766","09234553","87100 - Residential nursing care facilities"
"118789","09234955","96090 - Other service activities n.e.c."
"118790","09243592","70229 - Management consultancy activities other than financial management"
"118795","09248713","86900 - Other human health activities"
"118808","09252994","86900 - Other human health activities"
"118838","09264497","82990 - Other business support service activities n.e.c."
"118856","09270183","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"118857","09271803","70229 - Management consultancy activities other than financial management"
"118858","09273411","87300 - Residential care activities for the elderly and disabled"
"118860","09278511","86220 - Specialists medical practice activities"
"118863","09286873","88990 - Other social work activities without accommodation n.e.c."
"118871","09290833","86210 - General medical practice activities"
"118876","09291169","86900 - Other human health activities"
"118882","09295578","86900 - Other human health activities"
"118883","09299446","86900 - Other human health activities"
"118896","09300292","59112 - Video production activities"
"118899","09307159","86210 - General medical practice activities"
"118911","09307301","86210 - General medical practice activities"
"118913","09310453","86210 - General medical practice activities"
"118914","09315538","70229 - Management consultancy activities other than financial management"
"118919","09320288","99999 - Dormant Company"
"118920","09320878","62090 - Other information technology service activities"
"118921","09322006","86220 - Specialists medical practice activities"
"118960","09324488","82990 - Other business support service activities n.e.c."
"118962","09327365","85600 - Educational support services"
"118963","09327413","99999 - Dormant Company"
"118964","09329216","86900 - Other human health activities"
"118965","09329846","86210 - General medical practice activities"
"118993","09332040","86210 - General medical practice activities"
"118998","09333453","87100 - Residential nursing care facilities"
"118999","09338748","82990 - Other business support service activities n.e.c."
"119032","09339022","62012 - Business and domestic software development"
"119112","09343767","85200 - Primary education"
"119118","09348776","86210 - General medical practice activities"
"119179","09351923","74909 - Other professional, scientific and technical activities n.e.c."
"119182","09353004","86210 - General medical practice activities"
"119195","09354728","78300 - Human resources provision and management of human resources functions"
"119196","09355686","87100 - Residential nursing care facilities"
"119197","09359696","87300 - Residential care activities for the elderly and disabled"
"119230","09359966","86210 - General medical practice activities"
"119232","09362623","86900 - Other human health activities"
"119241","09362719","86210 - General medical practice activities"
"119268","09364491","70229 - Management consultancy activities other than financial management"
"119282","09365334","86210 - General medical practice activities"
"119285","09366814","78109 - Other activities of employment placement agencies"
"119287","09367022","88100 - Social work activities without accommodation for the elderly and disabled"
"119288","09368553","86210 - General medical practice activities"
"119319","09377272","87300 - Residential care activities for the elderly and disabled"
"119320","09377676","86210 - General medical practice activities"
"119345","09382527","86230 - Dental practice activities"
"119351","09385457","86900 - Other human health activities"
"119369","09388851","86210 - General medical practice activities"
"119370","09402582","86210 - General medical practice activities"
"119413","09403455","88100 - Social work activities without accommodation for the elderly and disabled"
"119415","09406970","85590 - Other education n.e.c."
"119417","09408979","26200 - Manufacture of computers and peripheral equipment"
"119447","09416062","86210 - General medical practice activities"
"119518","09419824","87300 - Residential care activities for the elderly and disabled"
"119519","09420373","86210 - General medical practice activities"
"119548","09439976","86102 - Medical nursing home activities"
"119553","09442324","86900 - Other human health activities"
"119554","09442885","86220 - Specialists medical practice activities"
"119556","09448243","87100 - Residential nursing care facilities"
"119568","09450816","70229 - Management consultancy activities other than financial management"
"119570","09453361","88100 - Social work activities without accommodation for the elderly and disabled"
"119572","09464808","99999 - Dormant Company"
"119573","09468076","87900 - Other residential care activities n.e.c."
"119595","09469039","70229 - Management consultancy activities other than financial management"
"119596","09483293","86210 - General medical practice activities"
"119649","09487106","88990 - Other social work activities without accommodation n.e.c."
"119651","09489615","86210 - General medical practice activities"
"119665","09490093","86900 - Other human health activities"
"119753","09492224","62020 - Information technology consultancy activities"
"119755","09500945","78109 - Other activities of employment placement agencies"
"119756","09502603","64209 - Activities of other holding companies n.e.c."
"119764","09505595","59112 - Video production activities"
"119765","09505971","87900 - Other residential care activities n.e.c."
"119772","09509309","88990 - Other social work activities without accommodation n.e.c."
"119779","09513173","86210 - General medical practice activities"
"119780","09522137","86900 - Other human health activities"
"119781","09536638","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"119782","09547496","86210 - General medical practice activities"
"119787","09552715","86900 - Other human health activities"
"119809","09552810","86210 - General medical practice activities"
"119814","09554366","82990 - Other business support service activities n.e.c."
"119815","09557283","73110 - Advertising agencies"
"119817","09559628","86210 - General medical practice activities"
"119877","09561513","86210 - General medical practice activities"
"119931","09561759","62020 - Information technology consultancy activities"
"119932","09561762","87100 - Residential nursing care facilities"
"119939","09564517","86210 - General medical practice activities"
"119940","09567186","32500 - Manufacture of medical and dental instruments and supplies"
"119996","09568110","99999 - Dormant Company"
"119997","09572113","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"119998","09574070","99999 - Dormant Company"
"120003","09577921","86210 - General medical practice activities"
"120026","09585686","78109 - Other activities of employment placement agencies"
"120034","09587662","70229 - Management consultancy activities other than financial management"
"120042","09592310","88990 - Other social work activities without accommodation n.e.c."
"120077","09593918","87300 - Residential care activities for the elderly and disabled"
"120094","09596301","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"120095","09597481","86101 - Hospital activities"
"120097","09597579","86900 - Other human health activities"
"120184","09597848","99999 - Dormant Company"
"120185","09601530","86210 - General medical practice activities"
"120187","09604277","86210 - General medical practice activities"
"120190","09610817","82990 - Other business support service activities n.e.c."
"120212","09611033","86210 - General medical practice activities"
"120235","09612540","86210 - General medical practice activities"
"120328","09613256","86210 - General medical practice activities"
"120354","09613355","86210 - General medical practice activities"
"120378","09624944","86220 - Specialists medical practice activities"
"120407","09641041","94990 - Activities of other membership organizations n.e.c."
"120413","09650859","86900 - Other human health activities"
"120415","09659526","62012 - Business and domestic software development"
"120416","09660952","86900 - Other human health activities"
"120423","09662185","86900 - Other human health activities"
"120430","09662234","87100 - Residential nursing care facilities"
"120457","09664655","82990 - Other business support service activities n.e.c."
"120459","09667784","86900 - Other human health activities"
"120463","09672397","87900 - Other residential care activities n.e.c."
"120464","09680259","86210 - General medical practice activities"
"120470","09680755","86210 - General medical practice activities"
"120483","09680891","86210 - General medical practice activities"
"120484","09684121","86210 - General medical practice activities"
"120574","09685712","94120 - Activities of professional membership organizations"
"120592","09690062","86220 - Specialists medical practice activities"
"120593","09690713","99999 - Dormant Company"
"120594","09690788","82990 - Other business support service activities n.e.c."
"120595","09691125","96090 - Other service activities n.e.c."
"120596","09691434","86220 - Specialists medical practice activities"
"120597","09694760","86900 - Other human health activities"
"120598","09696760","86900 - Other human health activities"
"120600","09698948","86210 - General medical practice activities"
"120609","09700428","86102 - Medical nursing home activities"
"120610","09701038","99999 - Dormant Company"
"120807","09705436","86900 - Other human health activities"
"120810","09713671","84120 - Regulation of health care, education, cultural and other social services, not incl. social security"
"120814","09730277","82990 - Other business support service activities n.e.c."
"120818","09731423","74990 - Non-trading company"
"120860","09734126","87300 - Residential care activities for the elderly and disabled"
"120861","09737154","88990 - Other social work activities without accommodation n.e.c."
"120862","09740198","96090 - Other service activities n.e.c."
"120863","09741480","70229 - Management consultancy activities other than financial management"
"120864","09745077","62020 - Information technology consultancy activities"
"120874","09745853","69102 - Solicitors"
"120878","09748746","87100 - Residential nursing care facilities"
"120901","09752302","86210 - General medical practice activities"
"120910","09752937","86210 - General medical practice activities"
"120912","09754367","82990 - Other business support service activities n.e.c."
"120913","09755768","70229 - Management consultancy activities other than financial management"
"120914","09759465","61900 - Other telecommunications activities"
"120915","09761378","70100 - Activities of head offices"
"120916","09764669","99999 - Dormant Company"
"120936","09765871","82990 - Other business support service activities n.e.c."
"120947","09766352","86210 - General medical practice activities"
"120966","09771018","70221 - Financial management"
"120967","09784762","87100 - Residential nursing care facilities"
"120974","09791421","86101 - Hospital activities"
"120975","09795006","87300 - Residential care activities for the elderly and disabled"
"120978","09795399","88100 - Social work activities without accommodation for the elderly and disabled"
"120981","09799904","86210 - General medical practice activities"
"120991","09801484","85590 - Other education n.e.c."
"120999","09807268","86102 - Medical nursing home activities"
"121020","09810165","86900 - Other human health activities"
"121058","09814012","70229 - Management consultancy activities other than financial management"
"121063","09815755","87900 - Other residential care activities n.e.c."
"121064","09816349","70229 - Management consultancy activities other than financial management"
"121067","09821044","94990 - Activities of other membership organizations n.e.c."
"121090","09823497","74100 - specialised design activities"
"121134","09836993","87300 - Residential care activities for the elderly and disabled"
"121140","09838125","87300 - Residential care activities for the elderly and disabled"
"121141","09842536","86900 - Other human health activities"
"121142","09863814","87100 - Residential nursing care facilities"
"121143","09869940","43210 - Electrical installation"
"121146","09876402","86210 - General medical practice activities"
"121183","09877275","47910 - Retail sale via mail order houses or via Internet"
"121184","09877342","47190 - Other retail sale in non-specialised stores"
"121188","09889715","87100 - Residential nursing care facilities"
"121190","09901361","86900 - Other human health activities"
"121199","09901960","86210 - General medical practice activities"
"121201","09907276","86210 - General medical practice activities"
"121204","09907848","84120 - Regulation of health care, education, cultural and other social services, not incl. social security"
"121209","09910942","93110 - Operation of sports facilities"
"121210","09913351","86900 - Other human health activities"
"121245","09914147","84120 - Regulation of health care, education, cultural and other social services, not incl. social security"
"121246","09922269","85600 - Educational support services"
"121247","09929079","74909 - Other professional, scientific and technical activities n.e.c."
"121248","09932307","62090 - Other information technology service activities"
"121251","09933257","86210 - General medical practice activities"
"121487","09934040","62012 - Business and domestic software development"
"121493","09941590","55900 - Other accommodation"
"121494","09948925","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"121495","09952509","86900 - Other human health activities"
"121496","09953773","86210 - General medical practice activities"
"121528","09954452","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"121529","09954723","87100 - Residential nursing care facilities"
"121633","09961164","86210 - General medical practice activities"
"121837","09962240","86900 - Other human health activities"
"121878","09965824","86210 - General medical practice activities"
"121893","09979866","49320 - Taxi operation"
"121919","09989015","86210 - General medical practice activities"
"121934","09989317","74909 - Other professional, scientific and technical activities n.e.c."
"121935","09989518","86210 - General medical practice activities"
"121974","09990708","70229 - Management consultancy activities other than financial management"
"122000","09999907","87300 - Residential care activities for the elderly and disabled"
"122001","10000764","88100 - Social work activities without accommodation for the elderly and disabled"
"122002","10014577","86900 - Other human health activities"
"122006","10024074","87100 - Residential nursing care facilities"
"122011","10024496","86210 - General medical practice activities"
"122024","10028640","86210 - General medical practice activities"
"122034","10029282","41202 - Construction of domestic buildings"
"122038","10031774","87100 - Residential nursing care facilities"
"122040","10032406","70229 - Management consultancy activities other than financial management"
"122043","10046052","70229 - Management consultancy activities other than financial management"
"122045","10055690","86210 - General medical practice activities"
"122061","10057697","70100 - Activities of head offices"
"122063","10058873","86210 - General medical practice activities"
"122065","10063713","87100 - Residential nursing care facilities"
"122096","10063752","87100 - Residential nursing care facilities"
"122102","10070357","86210 - General medical practice activities"
"122132","10075871","86210 - General medical practice activities"
"122163","10079785","86210 - General medical practice activities"
"122311","10083487","86210 - General medical practice activities"
"122397","10086192","85590 - Other education n.e.c."
"122398","10087547","70229 - Management consultancy activities other than financial management"
"122399","10094878","86210 - General medical practice activities"
"122400","10097381","87100 - Residential nursing care facilities"
"122401","10098652","88990 - Other social work activities without accommodation n.e.c."
"122409","10104381","87100 - Residential nursing care facilities"
"122411","10114896","69102 - Solicitors"
"122420","10117247","87900 - Other residential care activities n.e.c."
"122423","10127904","70100 - Activities of head offices"
"122427","10132364","86210 - General medical practice activities"
"122445","10141619","70229 - Management consultancy activities other than financial management"
"122447","10141991","86900 - Other human health activities"
"122452","10145284","86102 - Medical nursing home activities"
"122457","10158147","63990 - Other information service activities n.e.c."
"122458","10161043","62090 - Other information technology service activities"
"122460","10162532","99999 - Dormant Company"
"122461","10165316","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"122463","10168391","86210 - General medical practice activities"
"122466","10170166","49410 - Freight transport by road"
"122468","10174957","77299 - Renting and leasing of other personal and household goods"
"122470","10180785","87300 - Residential care activities for the elderly and disabled"
"122477","10181949","87100 - Residential nursing care facilities"
"122483","10184775","55900 - Other accommodation"
"122485","10186343","55900 - Other accommodation"
"122486","10187178","62020 - Information technology consultancy activities"
"122492","10187366","87300 - Residential care activities for the elderly and disabled"
"122494","10188671","87100 - Residential nursing care facilities"
"122495","10191411","87100 - Residential nursing care facilities"
"122497","10196823","86210 - General medical practice activities"
"122521","10200927","87100 - Residential nursing care facilities"
"122547","10202300","86900 - Other human health activities"
"122548","10210054","86210 - General medical practice activities"
"122612","10219126","71111 - Architectural activities"
"122620","10220482","74909 - Other professional, scientific and technical activities n.e.c."
"122622","10228030","70229 - Management consultancy activities other than financial management"
"122623","10231960","86900 - Other human health activities"
"122633","10232473","86102 - Medical nursing home activities"
"122655","10243692","86900 - Other human health activities"
"122656","10244781","69102 - Solicitors"
"122657","10245607","62012 - Business and domestic software development"
"122658","10246386","86220 - Specialists medical practice activities"
"122660","10247524","86210 - General medical practice activities"
"122661","10248429","82990 - Other business support service activities n.e.c."
"122742","10254452","74909 - Other professional, scientific and technical activities n.e.c."
"122744","10255867","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"122746","10256653","86102 - Medical nursing home activities"
"122747","10257343","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"122748","10257888","64209 - Activities of other holding companies n.e.c."
"122763","10259076","86210 - General medical practice activities"
"123236","10259078","87100 - Residential nursing care facilities"
"123239","10259817","62012 - Business and domestic software development"
"123249","10271714","86900 - Other human health activities"
"123250","10276456","85600 - Educational support services"
"123254","10283467","78109 - Other activities of employment placement agencies"
"123260","10304278","45111 - Sale of new cars and light motor vehicles"
"123262","10305060","86230 - Dental practice activities"
"123267","10316815","85590 - Other education n.e.c."
"123269","10327532","87300 - Residential care activities for the elderly and disabled"
"123292","10330402","87900 - Other residential care activities n.e.c."
"123296","10334174","86210 - General medical practice activities"
"123322","10337756","86900 - Other human health activities"
"123326","10338770","70229 - Management consultancy activities other than financial management"
"123328","10342777","86102 - Medical nursing home activities"
"123340","10342980","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"123343","10355562","82990 - Other business support service activities n.e.c."
"123344","10355565","86210 - General medical practice activities"
"123409","10371713","82990 - Other business support service activities n.e.c."
"123416","10390373","86210 - General medical practice activities"
"123438","10392044","87100 - Residential nursing care facilities"
"123439","10399038","87100 - Residential nursing care facilities"
"123460","10400353","70229 - Management consultancy activities other than financial management"
"123461","10413898","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"123840","10417647","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"123841","10418650","86102 - Medical nursing home activities"
"123849","10424658","86210 - General medical practice activities"
"123878","10429846","81100 - Combined facilities support activities"
"123985","10448098","86220 - Specialists medical practice activities"
"124269","10465426","63990 - Other information service activities n.e.c."
"124275","10471481","86210 - General medical practice activities"
"124281","10473425","71122 - Engineering related scientific and technical consulting activities"
"124282","10474084","86210 - General medical practice activities"
"124293","10479983","86210 - General medical practice activities"
"124301","10483079","82990 - Other business support service activities n.e.c."
"124303","10487394","86210 - General medical practice activities"
"124310","10490344","46180 - Agents specialized in the sale of other particular products"
"124316","10490655","86210 - General medical practice activities"
"124321","10490703","87100 - Residential nursing care facilities"
"124322","10494030","70229 - Management consultancy activities other than financial management"
"124349","10494256","86210 - General medical practice activities"
"124412","10496365","86210 - General medical practice activities"
"124448","10498015","87100 - Residential nursing care facilities"
"124452","10503201","87900 - Other residential care activities n.e.c."
"124456","10504456","70229 - Management consultancy activities other than financial management"
"124461","10516406","87100 - Residential nursing care facilities"
"124462","10527747","86101 - Hospital activities"
"124463","10543324","86210 - General medical practice activities"
"124474","10545503","82990 - Other business support service activities n.e.c."
"124477","10549906","82990 - Other business support service activities n.e.c."
"124481","10551416","82110 - Combined office administrative service activities"
"124482","10560298","87100 - Residential nursing care facilities"
"124488","10564733","99999 - Dormant Company"
"124490","10571122","86210 - General medical practice activities"
"124583","10576627","86101 - Hospital activities"
"124584","10580196","96090 - Other service activities n.e.c."
"124587","10589062","87100 - Residential nursing care facilities"
"124588","10597133","96090 - Other service activities n.e.c."
"124602","10600086","86210 - General medical practice activities"
"124604","10601858","82990 - Other business support service activities n.e.c."
"124607","10601937","86900 - Other human health activities"
"124612","10605225","70229 - Management consultancy activities other than financial management"
"124620","10611834","86210 - General medical practice activities"
"124621","10612426","87100 - Residential nursing care facilities"
"124622","10615484","86220 - Specialists medical practice activities"
"124685","10618020","70229 - Management consultancy activities other than financial management"
"124686","10620524","88990 - Other social work activities without accommodation n.e.c."
"124691","10620832","82990 - Other business support service activities n.e.c."
"124698","10636119","87100 - Residential nursing care facilities"
"124699","10638858","87300 - Residential care activities for the elderly and disabled"
"124700","10640286","47741 - Retail sale of hearing aids"
"124713","10640308","74909 - Other professional, scientific and technical activities n.e.c."
"124718","10643712","82990 - Other business support service activities n.e.c."
"124731","10648960","86900 - Other human health activities"
"124761","10649160","87300 - Residential care activities for the elderly and disabled"
"124806","10650613","87900 - Other residential care activities n.e.c."
"124815","10654683","86900 - Other human health activities"
"124816","10654710","86210 - General medical practice activities"
"124822","10664669","78200 - Temporary employment agency activities"
"124823","10665811","62020 - Information technology consultancy activities"
"124830","10680421","82990 - Other business support service activities n.e.c."
"124834","10682089","74909 - Other professional, scientific and technical activities n.e.c."
"124835","10683519","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"124839","10683539","62090 - Other information technology service activities"
"124843","10684409","87300 - Residential care activities for the elderly and disabled"
"124846","10686030","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"124847","10686134","86102 - Medical nursing home activities"
"124859","10686619","62020 - Information technology consultancy activities"
"124866","10695788","32500 - Manufacture of medical and dental instruments and supplies"
"124872","10700161","86210 - General medical practice activities"
"124907","10702569","94110 - Activities of business and employers membership organizations"
"124908","10703499","74909 - Other professional, scientific and technical activities n.e.c."
"124909","10703683","63120 - Web portals"
"124910","10704832","86220 - Specialists medical practice activities"
"124911","10707210","87300 - Residential care activities for the elderly and disabled"
"124947","10712039","86210 - General medical practice activities"
"124964","10712728","78109 - Other activities of employment placement agencies"
"124968","10714447","86210 - General medical practice activities"
"124974","10716963","88100 - Social work activities without accommodation for the elderly and disabled"
"124977","10727831","86210 - General medical practice activities"
"125025","10728568","87100 - Residential nursing care facilities"
"125028","10729468","70229 - Management consultancy activities other than financial management"
"125048","10731782","86210 - General medical practice activities"
"125050","10734596","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"125056","10747880","86210 - General medical practice activities"
"125069","10752784","86210 - General medical practice activities"
"125071","10757546","86220 - Specialists medical practice activities"
"125140","10760920","62090 - Other information technology service activities"
"125141","10762047","84110 - General public administration activities"
"125150","10762344","86102 - Medical nursing home activities"
"125180","10763141","70229 - Management consultancy activities other than financial management"
"125183","10765206","88100 - Social work activities without accommodation for the elderly and disabled"
"125186","10772469","82990 - Other business support service activities n.e.c."
"125248","10774255","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"125249","10777361","86900 - Other human health activities"
"125310","10782288","68100 - Buying and selling of own real estate"
"125478","10783395","49390 - Other passenger land transport"
"125602","10788516","87300 - Residential care activities for the elderly and disabled"
"125634","10790652","86900 - Other human health activities"
"125636","10803302","49320 - Taxi operation"
"125646","10808341","86210 - General medical practice activities"
"125686","10819221","87100 - Residential nursing care facilities"
"125688","10822663","86210 - General medical practice activities"
"125720","10823137","49320 - Taxi operation"
"125737","10824851","63990 - Other information service activities n.e.c."
"125746","10826928","85600 - Educational support services"
"125747","10830337","43390 - Other building completion and finishing"
"125748","10831569","86210 - General medical practice activities"
"125758","10841560","87100 - Residential nursing care facilities"
"125759","10842512","32500 - Manufacture of medical and dental instruments and supplies"
"125776","10847254","81100 - Combined facilities support activities"
"125777","10848757","82990 - Other business support service activities n.e.c."
"125827","10850344","98000 - Residents property management"
"125833","10853233","78109 - Other activities of employment placement agencies"
"125834","10860386","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"125835","10861107","99999 - Dormant Company"
"125898","10864551","70229 - Management consultancy activities other than financial management"
"125900","10870302","47250 - Retail sale of beverages in specialised stores"
"125902","10877048","62090 - Other information technology service activities"
"125903","10878840","86210 - General medical practice activities"
"125906","10881242","87100 - Residential nursing care facilities"
"125921","10881715","84110 - General public administration activities"
"126101","10889813","86900 - Other human health activities"
"126111","10892687","86900 - Other human health activities"
"126130","10901460","86210 - General medical practice activities"
"126163","10908413","99999 - Dormant Company"
"126165","10910751","70229 - Management consultancy activities other than financial management"
"126166","10924340","55100 - Hotels and similar accommodation"
"126168","10934337","87900 - Other residential care activities n.e.c."
"126169","10936187","33160 - Repair and maintenance of aircraft and spacecraft"
"126170","10940146","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"126185","10943507","87300 - Residential care activities for the elderly and disabled"
"126186","10946488","86210 - General medical practice activities"
"126209","10946769","86101 - Hospital activities"
"126210","10947575","94120 - Activities of professional membership organizations"
"126214","10960422","62012 - Business and domestic software development"
"126217","10960911","69102 - Solicitors"
"126218","10963465","87100 - Residential nursing care facilities"
"126221","10973080","87100 - Residential nursing care facilities"
"126240","10974442","86210 - General medical practice activities"
"126260","10978161",NA
"126265","10979230","93290 - Other amusement and recreation activities n.e.c."
"126266","10984523","86900 - Other human health activities"
"126270","10987915","64209 - Activities of other holding companies n.e.c."
"126271","10994848","86210 - General medical practice activities"
"126303","10999448","68100 - Buying and selling of own real estate"
"126314","11002506","69201 - Accounting and auditing activities"
"126315","11006262","74909 - Other professional, scientific and technical activities n.e.c."
"126316","11009563","87100 - Residential nursing care facilities"
"126317","11016632","82990 - Other business support service activities n.e.c."
"126327","11022218","86210 - General medical practice activities"
"126328","11031636","74990 - Non-trading company"
"126330","11033992","86102 - Medical nursing home activities"
"126332","11036105","70100 - Activities of head offices"
"126338","11041331","87300 - Residential care activities for the elderly and disabled"
"126339","11046281","88100 - Social work activities without accommodation for the elderly and disabled"
"126340","11046433","86210 - General medical practice activities"
"126367","11050638","86220 - Specialists medical practice activities"
"126388","11054566","64209 - Activities of other holding companies n.e.c."
"126482","11056875","86210 - General medical practice activities"
"126499","11064953","99999 - Dormant Company"
"126501","11066727","86900 - Other human health activities"
"126502","11067387","87300 - Residential care activities for the elderly and disabled"
"126503","11073100","43320 - Joinery installation"
"126504","11075113","86102 - Medical nursing home activities"
"126508","11077211","01410 - Raising of dairy cattle"
"126535","11078321","86220 - Specialists medical practice activities"
"126557","11081820","87300 - Residential care activities for the elderly and disabled"
"126563","11082580","86900 - Other human health activities"
"126564","11096150","86210 - General medical practice activities"
"126565","11099309","86900 - Other human health activities"
"126566","11110063","86900 - Other human health activities"
"126597","11121720","86210 - General medical practice activities"
"126626","11143184","87300 - Residential care activities for the elderly and disabled"
"126627","11143282","86210 - General medical practice activities"
"126638","11154506","86210 - General medical practice activities"
"126642","11156118","70229 - Management consultancy activities other than financial management"
"126643","11161746","70100 - Activities of head offices"
"126644","11178070","71111 - Architectural activities"
"126670","11195083","87900 - Other residential care activities n.e.c."
"126671","11198394","86102 - Medical nursing home activities"
"126672","11204260","87100 - Residential nursing care facilities"
"126718","11205994","68100 - Buying and selling of own real estate"
"126720","11207450","68100 - Buying and selling of own real estate"
"126721","11218055","86220 - Specialists medical practice activities"
"126727","11230013","87900 - Other residential care activities n.e.c."
"126728","11233145","64999 - Financial intermediation not elsewhere classified"
"126732","11238458","86102 - Medical nursing home activities"
"126999","11239183","96040 - Physical well-being activities"
"127001","11242115","82110 - Combined office administrative service activities"
"127002","11247826","72190 - Other research and experimental development on natural sciences and engineering"
"127008","11250872","86210 - General medical practice activities"
"127065","11251417","86210 - General medical practice activities"
"127073","11271621","86220 - Specialists medical practice activities"
"127074","11294000","86900 - Other human health activities"
"127075","11302566","86101 - Hospital activities"
"127076","11310187","86900 - Other human health activities"
